time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-08T05:30:20.777Z,12.841801,80.157255,-67.30000305175781,22.93,,,0,network,,,,,,,,89,
2019-02-08T05:31:38.699Z,12.841806,80.157268,-67.30000305175781,23.98,,,0,network,,,,,,,,89,
2019-02-08T05:36:50.568Z,12.841774,80.157237,-67.30000305175781,23.214,,,0,network,,,,,,,,88,
2019-02-08T05:41:50.460Z,12.841895,80.157305,-67.30000305175781,23.413,,,0,network,,,,,,,,87,
2019-02-08T05:43:23.678Z,12.841829,80.157254,-67.30000305175781,25.048,,,0,network,,,,,,,,87,
2019-02-08T05:45:01.691Z,12.841778,80.157210,-67.30000305175781,23.014,,,0,network,,,,,,,,87,
2019-02-08T05:46:36.273Z,12.841778,80.157209,-67.30000305175781,22.994,,,0,network,,,,,,,,87,
2019-02-08T05:48:05.430Z,12.841839,80.157250,-67.30000305175781,24.862,,,0,network,,,,,,,,86,
2019-02-08T05:50:45.134Z,12.841783,80.157249,-64.5,23.044,,,0,network,,,,,,,,86,
2019-02-08T05:52:45.378Z,12.841782,80.157249,-64.5,22.758,,,0,network,,,,,,,,86,
2019-02-08T05:56:49.579Z,12.841815,80.157265,-64.5,24.339,,,0,network,,,,,,,,86,
2019-02-08T05:58:01.889Z,12.841816,80.157245,-67.30000305175781,24.208,,,0,network,,,,,,,,86,
2019-02-08T05:59:04.072Z,12.841803,80.157254,-67.30000305175781,24.275,,,0,network,,,,,,,,85,
2019-02-08T06:00:29.892Z,12.841815,80.157246,-67.4000015258789,24.303,,,0,network,,,,,,,,85,
2019-02-08T06:01:50.600Z,12.841805,80.157278,-67.30000305175781,24.34,,,0,network,,,,,,,,85,
2019-02-08T06:03:03.112Z,12.841805,80.157294,-67.30000305175781,24.374,,,0,network,,,,,,,,85,
2019-02-08T06:04:05.101Z,12.841811,80.157292,,24.247,,,0,network,,,,,,,,85,
2019-02-08T06:05:48.031Z,12.841812,80.157254,-67.4000015258789,24.235,,,0,network,,,,,,,,84,
2019-02-08T06:06:50.451Z,12.841754,80.157274,,23.612,,,0,network,,,,,,,,84,
